Customer,Unit quantity
V555555555555555555_17,28995
V555555555555555555_42,470632
V555555555555555555_45,62745
V555555555555555555_46,12080
V555555555555555_29,102573
V555555555555555_44,9333
V55555555555555_8,435751
V5555555555555_16,3170
V55555555555_28,5293676
V5555555555_1,6441
V555555555_14,817338
V555555555_27,700796
V555555555_3,75171
V555555555_35,4512
V55555555_0,64298
V55555555_5,8020417
V55555555_7,927068
V55555555_9,1414
V5555555_12,41959
V5555555_19,22394
V5555555_22,163440
V5555555_30,136958
V555555_11,3259
V555555_24,96177
V555555_34,6411
V555555_40,13072
V555555_6,1220461
V55555_10,2642
V55555_2,1442403
V55555_26,1909058
V55555_4,412940
V5555_20,14247
V5555_25,48045
V5555_33,241796
V5555_36,931678
V5555_38,52801
V555_15,98650
V555_41,201107
V55_13,93382
V55_37,2182
V55_39,100246
V55_47,2724
